host_t,n,gx,gy,gz,ax,ay,az,temp
451776.528134,75235,24,-28,-1,-391,-292,8255,-1782
451776.533628,75236,26,-22,-6,-392,-285,8248,-1782
451776.543378,75237,28,-22,-4,-394,-284,8250,-1784
451776.553453,75238,28,-24,-7,-390,-286,8255,-1788
451776.563362,75239,28,-24,-7,-392,-289,8252,-1788
451776.573403,75240,28,-22,-4,-402,-282,8245,-1786
451776.584282,75241,28,-28,-10,-394,-282,8242,-1786
451776.594268,75242,25,-26,-2,-390,-290,8245,-1786
451776.603282,75243,25,-23,-5,-396,-285,8251,-1786
451776.613208,75244,24,-20,-6,-388,-288,8258,-1784
451776.622380,75245,30,-24,-5,-391,-290,8256,-1784
451776.632441,75246,32,-23,-4,-399,-287,8249,-1784
451776.642384,75247,25,-28,-5,-395,-291,8256,-1784
451776.652341,75248,28,-28,-9,-394,-288,8253,-1792
451776.662291,75249,23,-19,-6,-392,-286,8253,-1786
451776.672286,75250,21,-27,-8,-384,-287,8251,-1786
451776.682313,75251,30,-23,-5,-388,-294,8242,-1780
451776.692262,75252,26,-26,-6,-391,-283,8246,-1780
451776.701457,75253,29,-23,-7,-396,-288,8246,-1782
451776.711640,75254,25,-18,1,-381,-295,8249,-1782
451776.722245,75255,29,-24,-8,-401,-290,8240,-1780
451776.731340,75256,27,-25,-7,-396,-284,8256,-1780
451776.741297,75257,28,-25,-7,-391,-291,8248,-1794
451776.751281,75258,31,-24,-3,-394,-291,8242,-1794
451776.761317,75259,27,-29,-11,-388,-289,8244,-1782
451776.771880,75260,25,-26,-8,-395,-284,8245,-1784
451776.787283,75261,21,-28,-4,-388,-284,8252,-1784
451776.790387,75262,27,-26,-8,-385,-296,8240,-1784
451776.800730,75263,23,-25,-2,-380,-282,8254,-1784
451776.810393,75264,30,-23,-1,-388,-291,8246,-1782
451776.820540,75265,30,-17,-9,-394,-288,8248,-1782
451776.830295,75266,28,-23,-5,-389,-292,8248,-1790
451776.840302,75267,29,-21,-7,-396,-287,8246,-1790
451776.851273,75268,26,-25,-7,-394,-293,8250,-1786
451776.861968,75269,26,-30,-7,-398,-287,8250,-1786
451776.869599,75270,27,-28,-6,-381,-286,8239,-1782
451776.879402,75271,29,-24,-4,-386,-293,8248,-1782
451776.889340,75272,19,-20,-10,-394,-294,8252,-1788
451776.899320,75273,23,-21,-8,-395,-291,8249,-1784
451776.909314,75274,29,-20,-6,-392,-288,8242,-1784
451776.923216,75275,31,-25,-4,-391,-290,8252,-1782
451776.929416,75276,24,-22,1,-397,-287,8250,-1782
451776.939360,75277,29,-23,-1,-383,-282,8254,-1784
451776.948399,75278,26,-27,-5,-384,-290,8245,-1784
451776.958366,75279,26,-25,-8,-381,-288,8252,-1784
451776.968396,75280,29,-26,-7,-395,-283,8242,-1784
451776.978324,75281,32,-26,-7,-398,-287,8250,-1786
451776.989706,75282,22,-25,-5,-387,-291,8250,-1786
451776.998357,75283,28,-24,-3,-379,-292,8245,-1788
451777.008330,75284,23,-21,-7,-392,-286,8252,-1784
451777.018263,75285,35,-22,-3,-392,-292,8245,-1784
451777.028517,75286,27,-21,-6,-385,-288,8250,-1792
451777.037634,75287,31,-23,-3,-390,-282,8249,-1792
451777.047695,75288,28,-18,-3,-396,-286,8256,-1786
451777.057431,75289,25,-24,-13,-400,-286,8255,-1786
451777.067457,75290,20,-28,-4,-381,-289,8231,-1788
451777.080588,75291,32,-20,-6,-391,-293,8259,-1788
451777.087268,75292,26,-28,-6,-403,-285,8253,-1782
451777.097266,75293,23,-24,-5,-385,-284,8252,-1782
451777.107201,75294,35,-26,-7,-391,-282,8259,-1784
